modul,fo_dpr,fo_pas,pas_meret
KESZUP,DLL\KESZUP\MAKEDLL\KESZUP.DPR,DLL\KESZUP\MAKEDLL\Unit2.pas,21108
KEZDEKAD,DLL\KEZDEKAD\MAKEDLL\kezdek.dpr,DLL\KEZDEKAD\MAKEDLL\Unit2.pas,23997
KEZDIJ,DLL\KEZDIJ\MAKEDLL\KEZDIJ.DPR,DLL\KEZDIJ\MAKEDLL\Unit2.pas,31445
KEZDKEDV,DLL\KEZDKEDV\MAKEDLL\KEZDKEDV.DPR,DLL\KEZDKEDV\MAKEDLL\Unit2.pas,9710
KISARFVALT,DLL\KISARFVALT\MAKEDLL\Kisarfvalt.dpr,DLL\KISARFVALT\MAKEDLL\Unit2.pas,43498
KISCIMLET,DLL\KISCIMLET\MAKEDLL\Kiscim.dpr,DLL\KISCIMLET\MAKEDLL\Unit2.pas,27536
KISUGYFEL,DLL\KISUGYFEL\MAKEDLL\KISUGYFEL.DPR,DLL\KISUGYFEL\MAKEDLL\Unit2.pas,29465
KORLEV,DLL\KORLEV\MAKEDLL\korlev.dpr,DLL\KORLEV\MAKEDLL\Unit2.pas,26974
LISTAK,DLL\LISTAK\MAKEDLL\Listak.dpr,DLL\LISTAK\MAKEDLL\Unit2.pas,48106
LOGDISP,DLL\LOGDISP\MAKEDLL\Logdisp.dpr,DLL\LOGDISP\MAKEDLL\Unit2.pas,5228
LOGIRO,DLL\LOGIRO\MAKEDLL\Logiro.dpr,DLL\LOGIRO\MAKEDLL\Unit2.pas,2756
MAIFORG,DLL\MAIFORG\MAKEDLL\Maiforg.dpr,DLL\MAIFORG\MAKEDLL\Unit2.pas,11755
MAKTABLAK,DLL\MAKTABLAK\MAKEDLL\MAKTABLA.DPR,DLL\MAKTABLAK\MAKEDLL\Unit2.pas,22324
MATPTAR,DLL\MATPTAR\MAKEDLL\Matptar.dpr,DLL\MATPTAR\MAKEDLL\Unit2.pas,25236
MATREGEN,DLL\MATREGEN\MAKEDLL\MATREGEN.DPR,DLL\MATREGEN\MAKEDLL\Unit2.pas,15104
MENTES,DLL\MENTES\MAKEDLL\MENTES.DPR,DLL\MENTES\MAKEDLL\Unit2.pas,4125
