relative_path,area,provenance,extension,filename,basename,size_bytes,cluster,inferred_function,source_hint
Anti\VALUTA\DLL\IDOSZAK\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,711680,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\IDOSZAK\MAKEDLL\Idoszak.dll,VALUTA,original,.dll,Idoszak.dll,Idoszak,695296,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KCIMLET\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,800768,denomination,Cimletkezeles es denomination workflow,
Anti\VALUTA\DLL\KCIMLET\EXEPROBA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,423424,denomination,Cimletkezeles es denomination workflow,
Anti\VALUTA\DLL\KCIMLET\MAKEDLL\Kcimlet.dll,VALUTA,original,.dll,Kcimlet.dll,Kcimlet,794624,denomination,Cimletkezeles es denomination workflow,
Anti\VALUTA\DLL\KELLCIM\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,420352,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KELLCIM\MAKEDLL\KELLCIM.dll,VALUTA,original,.dll,KELLCIM.dll,KELLCIM,418304,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KESZEDIT\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,924672,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KESZEDIT\MAKEDLL\Keszedit.dll,VALUTA,original,.dll,Keszedit.dll,Keszedit,921600,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KESZUP\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,685056,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KESZUP\EXEPROBA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,396800,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KESZUP\MAKEDLL\KESZUP.dll,VALUTA,original,.dll,KESZUP.dll,KESZUP,679424,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KEZDEKAD\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,757248,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KEZDEKAD\EXEPROBA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,416768,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KEZDEKAD\MAKEDLL\kezdek.dll,VALUTA,original,.dll,kezdek.dll,kezdek,754688,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KEZDIJ\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,1082880,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KEZDIJ\MAKEDLL\KEZDIJ.dll,VALUTA,original,.dll,KEZDIJ.dll,KEZDIJ,1080320,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KEZDKEDV\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,707584,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KEZDKEDV\MAKEDLL\KEZDKEDV.dll,VALUTA,original,.dll,KEZDKEDV.dll,KEZDKEDV,705024,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KISARFVALT\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,768512,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KISARFVALT\MAKEDLL\Kisarfvalt.dll,VALUTA,original,.dll,Kisarfvalt.dll,Kisarfvalt,765440,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KISCIMLET\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,866304,denomination,Cimletkezeles es denomination workflow,
Anti\VALUTA\DLL\KISCIMLET\MAKEDLL\Kiscim.dll,VALUTA,original,.dll,Kiscim.dll,Kiscim,863232,denomination,Cimletkezeles es denomination workflow,
Anti\VALUTA\DLL\KISUGYFEL\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,846336,customer-aml,Ugyfelkezeles es AML,
Anti\VALUTA\DLL\KISUGYFEL\MAKEDLL\KISUGYFEL.dll,VALUTA,original,.dll,KISUGYFEL.dll,KISUGYFEL,844288,customer-aml,Ugyfelkezeles es AML,
Anti\VALUTA\DLL\KORLEV\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,845824,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\KORLEV\MAKEDLL\korlev.dll,VALUTA,original,.dll,korlev.dll,korlev,843776,legacy-dll,Legacy plugin vagy shared library,
